Gene	Hugo_Symbol	Chromosome	SYMBOL_SOURCE	HGNC_ID	Entrez_Gene_Id
ENSG00000171603	CLSTN1	1	HGNC	17447.0	22883
ENSG00000127124	HIVEP3	1	HGNC	13561.0	59269
ENSG00000154198	CYP4Z2P	1	HGNC	24426.0	163720
ENSG00000185483	ROR1	1	HGNC	10256.0	4919
ENSG00000162616	DNAJB4	1	HGNC	14886.0	11080
ENSG00000156097	GPR61	1	HGNC	13300.0	83873
ENSG00000155363	MOV10	1	HGNC	7200.0	4343
ENSG00000143442	POGZ	1	HGNC	18801.0	23126
ENSG00000196805	SPRR2B	1	HGNC	11262.0	6701
ENSG00000160691	SHC1	1	HGNC	10840.0	6464
ENSG00000163374	YY1AP1	1	HGNC	30935.0	55249
ENSG00000160785	SLC25A44	1	HGNC	29036.0	9673
ENSG00000183856	IQGAP3	1	HGNC	20669.0	128239
ENSG00000163554	SPTA1	1	HGNC	11272.0	6708
ENSG00000143147	GPR161	1	HGNC	23694.0	23432
ENSG00000203740	METTL11B	1	HGNC	31932.0	149281
ENSG00000010165	METTL13	1	HGNC	24248.0	51603
ENSG00000152092	ASTN1	1	HGNC	773.0	460
ENSG00000121454	LHX4	1	HGNC	21734.0	89884
ENSG00000116679	IVNS1ABP	1	HGNC	16951.0	10625
ENSG00000134369	NAV1	1	HGNC	15989.0	89796
ENSG00000143851	PTPN7	1	HGNC	9659.0	5778
ENSG00000198626	RYR2	1	HGNC	10484.0	6262
ENSG00000032389	TSSC1	2	HGNC	12383.0	7260
ENSG00000134323	MYCN	2	HGNC	7559.0	4613
ENSG00000186453	FAM228A	2	HGNC	34418.0	653140
ENSG00000115137	DNAJC27	2	HGNC	30290.0	51277
ENSG00000172954	LCLAT1	2	HGNC	26756.0	253558
ENSG00000119812	FAM98A	2	HGNC	24520.0	25940
ENSG00000119787	ATL2	2	HGNC	24047.0	64225
ENSG00000011523	CEP68	2	HGNC	29076.0	23177
ENSG00000121988	ZRANB3	2	HGNC	25249.0	84083
ENSG00000168702	LRP1B	2	HGNC	6693.0	53353
ENSG00000115966	ATF2	2	HGNC	784.0	1386
ENSG00000155657	TTN	2	HGNC	12403.0	7273
ENSG00000065548	ZC3H15	2	HGNC	29528.0	55854
ENSG00000151687	ANKAR	2	HGNC	26350.0	150709
ENSG00000078018	MAP2	2	HGNC	6839.0	4133
ENSG00000152642	GPD1L	3	HGNC	28956.0	23171
ENSG00000163539	CLASP2	3	HGNC	17078.0	23122
ENSG00000164086	DUSP7	3	HGNC	3073.0	1849
ENSG00000174844	DNAH12	3	HGNC	2943.0	201625
ENSG00000144724	PTPRG	3	HGNC	9671.0	5793
ENSG00000185565	LSAMP	3	HGNC	6705.0	4045
ENSG00000114805	PLCH1	3	HGNC	29185.0	23007
ENSG00000114805	PLCH1	3	HGNC	29185.0	23007
ENSG00000145113	MUC4	3	HGNC	7514.0	4585
ENSG00000145113	MUC4	3	HGNC	7514.0	4585
ENSG00000145113	MUC4	3	HGNC	7514.0	4585
ENSG00000173083	HPSE	4	HGNC	5164.0	10855
ENSG00000145362	ANK2	4	HGNC	493.0	287
ENSG00000109654	TRIM2	4	HGNC	15974.0	23321
ENSG00000171495	MROH2B	5	HGNC	26857.0	133558
ENSG00000123213	NLN	5	HGNC	16058.0	57486
ENSG00000168944	CEP120	5	HGNC	26690.0	153241
ENSG00000127743	IL17B	5	HGNC	5982.0	27190
ENSG00000155511	GRIA1	5	HGNC	4571.0	2890
ENSG00000124564	SLC17A3	6	HGNC	10931.0	10786
ENSG00000124574	ABCC10	6	HGNC	52.0	89845
ENSG00000170927	PKHD1	6	HGNC	9016.0	5314
ENSG00000112144	ICK	6	HGNC	21219.0	22858
ENSG00000118482	PHF3	6	HGNC	8921.0	23469
ENSG00000188107	EYS	6	HGNC	21555.0	346007
ENSG00000057663	ATG5	6	HGNC	589.0	9474
ENSG00000118523	CTGF	6	HGNC	2500.0	1490
ENSG00000197442	MAP3K5	6	HGNC	6857.0	4217
ENSG00000010818	HIVEP2	6	HGNC	4921.0	3097
ENSG00000154678	PDE1C	7	HGNC	8776.0	5137
ENSG00000065883	CDK13	7	HGNC	1733.0	8621
ENSG00000127946	HIP1	7	HGNC	4913.0	3092
ENSG00000127990	SGCE	7	HGNC	10808.0	8910
ENSG00000158528	PPP1R9A	7	HGNC	14946.0	55607
ENSG00000160868	CYP3A4	7	HGNC	2637.0	1576
ENSG00000106336	FBXO24	7	HGNC	13595.0	26261
ENSG00000106034	CPED1	7	HGNC	26159.0	79974
ENSG00000128591	FLNC	7	HGNC	3756.0	2318
ENSG00000122786	CALD1	7	HGNC	1441.0	800
ENSG00000230099	TRBV5-4	7	HGNC	12221.0	0
ENSG00000211716	TRBV9	7	HGNC	12246.0	0
ENSG00000170260	ZNF212	7	HGNC	13004.0	7988
ENSG00000055609	KMT2C	7	HGNC	13726.0	58508
ENSG00000164733	CTSB	8	HGNC	2527.0	1508
ENSG00000078668	VDAC3	8	HGNC	12674.0	7419
ENSG00000185728	YTHDF3	8	HGNC	26465.0	253943
ENSG00000104442	ARMC1	8	HGNC	17684.0	55156
ENSG00000066777	ARFGEF1	8	HGNC	15772.0	10565
ENSG00000104324	CPQ	8	HGNC	16910.0	10404
ENSG00000205038	PKHD1L1	8	HGNC	20313.0	93035
ENSG00000066827	ZFAT	8	HGNC	19899.0	57623
ENSG00000105339	DENND3	8	HGNC	29134.0	22898
ENSG00000165272	AQP3	9	HGNC	636.0	360
ENSG00000070601	FRMPD1	9	HGNC	29159.0	22844
ENSG00000070601	FRMPD1	9	HGNC	29159.0	22844
ENSG00000196409	ZNF658	9	HGNC	25226.0	26149
ENSG00000196774	ANKRD20A1	9	HGNC	23665.0	84210
ENSG00000233820	RP11-535M15.2	9	Clone_based_vega_gene		0
ENSG00000136868	SLC31A1	9	HGNC	11016.0	1317
ENSG00000148219	ASTN2	9	HGNC	17021.0	23245
ENSG00000136861	CDK5RAP2	9	HGNC	18672.0	55755
ENSG00000136758	YME1L1	10	HGNC	12843.0	10730
ENSG00000165322	ARHGAP12	10	HGNC	16348.0	94134
ENSG00000151150	ANK3	10	HGNC	494.0	288
ENSG00000180644	PRF1	10	HGNC	9360.0	5551
ENSG00000095539	SEMA4G	10	HGNC	10735.0	57715
ENSG00000198788	MUC2	11	HGNC	7512.0	4583
ENSG00000166444	ST5	11	HGNC	11350.0	6764
ENSG00000135387	CAPRIN1	11	HGNC	6743.0	4076
ENSG00000110514	MADD	11	HGNC	6766.0	8567
ENSG00000134827	TCN1	11	HGNC	11652.0	6947
ENSG00000168066	SF1	11	HGNC	12950.0	7536
ENSG00000175294	CATSPER1	11	HGNC	17116.0	117144
ENSG00000042429	MED17	11	HGNC	2375.0	9440
ENSG00000185958	FAM186A	12	HGNC	26980.0	121006
ENSG00000170477	KRT4	12	HGNC	6441.0	3851
ENSG00000204842	ATXN2	12	HGNC	10555.0	6311
ENSG00000204842	ATXN2	12	HGNC	10555.0	6311
ENSG00000150893	FREM2	13	HGNC	25396.0	341640
ENSG00000253797	UTP14C	13	HGNC	20321.0	9724
ENSG00000165659	DACH1	13	HGNC	2663.0	1602
ENSG00000134873	CLDN10	13	HGNC	2033.0	9071
ENSG00000155249	OR4K1	14	HGNC	14726.0	79544
ENSG00000173464	RNASE11	14	HGNC	19269.0	122651
ENSG00000211793	TRAV9-2	14	HGNC	12154.0	0
ENSG00000129474	AJUBA	14	HGNC	20250.0	84962
ENSG00000092108	SCFD1	14	HGNC	20726.0	23256
ENSG00000139915	MDGA2	14	HGNC	19835.0	161357
ENSG00000140015	KCNH5	14	HGNC	6254.0	27133
ENSG00000100652	SLC10A1	14	HGNC	10905.0	6554
ENSG00000197414	GOLGA6L1	15	HGNC	37444.0	645202
ENSG00000166963	MAP1A	15	HGNC	6835.0	4130
ENSG00000104043	ATP8B4	15	HGNC	13536.0	79895
ENSG00000128849	CGNL1	15	HGNC	25931.0	84952
ENSG00000166938	DIS3L	15	HGNC	28698.0	115752
ENSG00000166783	KIAA0430	16	HGNC	29562.0	9665
ENSG00000103365	GGA2	16	HGNC	16064.0	23062
ENSG00000134398	ERN2	16	HGNC	16942.0	10595
ENSG00000077238	IL4R	16	HGNC	6015.0	3566
ENSG00000184730	APOBR	16	HGNC	24087.0	55911
ENSG00000102910	LONP2	16	HGNC	20598.0	83752
ENSG00000141027	NCOR1	17	HGNC	7672.0	9611
ENSG00000167524	SGK494	17	Clone_based_vega_gene		124923
ENSG00000174100	MRPL45	17	HGNC	16651.0	84311
ENSG00000108296	CWC25	17	HGNC	25989.0	54883
ENSG00000186566	GPATCH8	17	HGNC	29066.0	23131
ENSG00000108924	HLF	17	HGNC	4977.0	3131
